ParkID,PlotID,BurnUnit,MaxBurnYear,Season,Lat,Long,ObsYears,TreeID,Species,Status,CrownScorchPercent,MaxCharHt,gro.10,BA_comp,DBH,aVpd.pre.10,trnd.25,ad.25
CRLA,FABCO1D08_07_CRLA,Cornerstone/Phoenix,2010,Fall,43.07,-122.01,4,CL07734,ABCO,0,0,0.1,1.11,42,102.3,0.8,-0.03,0
CRLA,FABCO1D08_07_CRLA,Cornerstone/Phoenix,2010,Fall,43.07,-122.01,4,CL07739,ABCO,0,0,0.1,2.12,344,39.1,0.8,0.01,0
CRLA,FABCO1D08_07_CRLA,Cornerstone/Phoenix,2010,Fall,43.07,-122.01,4,CL07741,ABCO,0,70,5,1.38,458,36.6,0.8,0.01,0
CRLA,FABCO1D08_07_CRLA,Cornerstone/Phoenix,2010,Fall,43.07,-122.01,4,CL07749,ABCO,1,100,6,2,141,49.8,0.8,-0.02,0
CRLA,FABCO1D08_07_CRLA,Cornerstone/Phoenix,2010,Fall,43.07,-122.01,4,CL07750,ABCO,0,50,4,1.85,255,49.1,0.8,-0.03,0
CRLA,FABCO1D08_07_CRLA,Cornerstone/Phoenix,2010,Fall,43.07,-122.01,4,CL07754,ABCO,1,50,4,0.29,1021,22.7,0.8,-0.04,0
CRLA,FABCO1D08_07_CRLA,Cornerstone/Phoenix,2010,Fall,43.07,-122.01,4,CL07758,ABCO,1,100,9,0.86,978,28.4,0.8,-0.01,0
CRLA,FABCO1D08_07_CRLA,Cornerstone/Phoenix,2010,Fall,43.07,-122.01,4,CL07766,ABCO,1,10,2,0.13,3261,17.2,0.8,-0.01,2
CRLA,FABCO1D08_07_CRLA,Cornerstone/Phoenix,2010,Fall,43.07,-122.01,4,CL07770,ABCO,0,0,0.2,0.76,2915,19,0.8,0,1
CRLA,FABCO1D08_07_CRLA,Cornerstone/Phoenix,2010,Fall,43.07,-122.01,4,CL07776,PIPO,0,0,1.5,0.37,223,62.7,0.8,0.01,0
CRLA,FABCO1D08_07_CRLA,Cornerstone/Phoenix,2010,Fall,43.07,-122.01,4,CL07779,ABCO,0,15,4,2.45,56,78.9,0.8,0.05,0
CRLA,FPIPO1D09_14,Timbered Crater,2001,Fall,43.05,-122,2,CL14013,PIPO,0,0,0.4,1.51,607,17,0.1,0.04,1
CRLA,FPIPO1D09_14,Timbered Crater,2001,Fall,43.05,-122,2,CL14065,PIPO,0,10,4,0.75,62,65.1,0.1,-0.02,1
CRLA,FPIPO1D09_14,Timbered Crater,2001,Fall,43.05,-122,2,CL14066,PIPO,0,0,4,0.71,35,70.4,0.1,0,0
CRLA,FABCO1D08_06,Panhandle Unit,2003,Summer,42.81,-122.1,1,CLA6039,ABCO,0,15,0.3,0.58,1661,21.8,0.2,-0.01,0
CRLA,FABCO1D08_06,Panhandle Unit,2003,Summer,42.81,-122.1,1,CLA6080,ABCO,0,5,4.5,0.88,382,52.5,0.2,0,0
CRLA,FPICO3D08_02,Cornerstone/Phoenix,2010,Fall,43.05,-122,4,CLP2601,PIPO,0,0,0.5,0.34,859,22.6,0.8,-0.01,1
CRLA,FPICO3D08_02,Cornerstone/Phoenix,2010,Fall,43.05,-122,4,CLP2602,PIPO,0,0,0,1.83,400,33.1,0.8,0.03,0
CRLA,FPICO3D08_02,Cornerstone/Phoenix,2010,Fall,43.05,-122,4,CLP2604,PIPO,0,0,1,0.76,4,146.3,0.8,0,0
CRLA,FPICO3D08_02,Cornerstone/Phoenix,2010,Fall,43.05,-122,4,CLP2629,PIPO,0,0,0.8,0.31,65,82.4,0.8,0,0
CRLA,FPICO3D08_02,Cornerstone/Phoenix,2010,Fall,43.05,-122,4,CLP2634,PIPO,0,0,0,1.2,235,43.2,0.8,-0.04,0
CRLA,FPICO3D08_02,Cornerstone/Phoenix,2010,Fall,43.05,-122,4,CLP2640,PIPO,0,0,0.3,1.45,208,50.3,0.8,-0.02,0
CRLA,FPICO3D08_02,Cornerstone/Phoenix,2010,Fall,43.05,-122,4,CLP2642,PIPO,0,0,0.1,1.51,147,59.9,0.8,0,0
ELMA,FPIPO1T02_13,Big Horn,1996,Summer,34.93,-108.08,5,E138427,PIPO,0,5,1.7,0.63,41,37.9,-0.1,0.01,2
ELMA,FPIPO1T02_13,Big Horn,1996,Summer,34.93,-108.08,5,E138436,PIPO,1,5,3.2,1.63,78,38.7,-0.1,0.02,2
ELMA,FPIPO1T02_13,Big Horn,1996,Summer,34.93,-108.08,5,E138443,PIPO,0,2,0.4,1.24,129,21.3,-0.1,0.01,2
ELMA,FPIPO1T02_13,Big Horn,1996,Summer,34.93,-108.08,5,E138444,PSME,1,100,1.8,0.33,131,29.9,-0.1,0.01,2
ELMA,FPIPO1T02_13,Big Horn,1996,Summer,34.93,-108.08,5,E138445,PSME,0,10,1.6,0.28,933,17.7,-0.1,0,3
ELMA,FPIPO1T02_16,Homestead,1999,Fall,34.98,-108.11,5,E168609,PIPO,0,80,7,0.49,121,31.1,0.3,0,3
ELMA,FPIPO1T02_16,Homestead,1999,Fall,34.98,-108.11,5,E168610,PIPO,0,95,9,2.05,13,66.8,0.3,0.02,1
ELMA,FPIPO1T02_16,Homestead,1999,Fall,34.98,-108.11,5,E168612,PIPO,0,85,5,0.86,57,45.4,0.3,-0.02,2
ELMA,FPIPO1T02_16,Homestead,1999,Fall,34.98,-108.11,5,E168613,PIPO,0,90,2,0.69,263,21.1,0.3,0.01,3
ELMA,FPIPO1T02_17,Homestead,1999,Fall,34.98,-108.11,5,E170045,PIPO,1,85,9.7,1.19,0,44.4,0.3,0.01,2
ELMA,FPIPO1T02_17,Homestead,1999,Fall,34.98,-108.11,5,E170050,PIPO,0,95,5,1.05,61,43.7,0.3,0.02,1
ELMA,FPIPO1T02_29,North Little Hole,2003,Fall,34.92,-108.09,5,E290911,PIPO,0,35,2,0.56,460,27.6,0.9,-0.06,3
ELMA,FPIPO1T02_29,North Little Hole,2003,Fall,34.92,-108.09,5,E290915,PIPO,0,85,2.3,0.44,119,31.3,0.9,-0.02,5
ELMA,FPIPO1T02_29,North Little Hole,2003,Fall,34.92,-108.09,5,E290916,PIPO,0,1,3.2,0.68,101,41.6,0.9,-0.07,4
ELMA,FPIPO1T02_29,North Little Hole,2003,Fall,34.92,-108.09,5,E290918,PIPO,0,25,4.5,1.16,124,43.5,0.9,-0.07,4
ELMA,FPIPO1T02_29,North Little Hole,2003,Fall,34.92,-108.09,5,E290924,PIPO,0,85,1.5,0.39,203,24,0.9,-0.02,4
ELMA,FPIPO1T02_29,North Little Hole,2003,Fall,34.92,-108.09,5,E290926,PIPO,0,70,1.9,0.26,192,24.7,0.9,-0.02,5
ELMA,FPIPO1T02_32,East Rendija,2006,Spring,34.95,-108.12,2,E320574,PIPO,0,100,12,0.84,696,20.5,1.2,-0.06,4
ELMA,FPIPO1T02_32,East Rendija,2006,Spring,34.95,-108.12,2,E320575,PIPO,0,100,12,0.56,343,32,1.2,-0.1,6
ELMA,FPIPO1T02_32,East Rendija,2006,Spring,34.95,-108.12,2,E320588,PIPO,0,5,7,0.82,231,22.5,1.2,-0.11,5
ELMA,FPIPO1T02_32,East Rendija,2006,Spring,34.95,-108.12,2,E320597,PIPO,0,95,5,0.46,365,25.3,1.2,-0.06,4
